country,year,indicator_name,indicator_value,subnational,remarks,source,source_url
Singapore,2022,Gender Gap in Internet Access,1.87,No,,United Nations SDG Database,https://datacommons.org/explore/#client=ui_related_topic&t=dc%2Ftopic%2FsdgITUSEii99&p=country%2FSGP
Indonesia,2015,Gender Gap in Internet Access,8.18,,,,
Indonesia,2016,Gender Gap in Internet Access,7.6,,,,
Indonesia,2017,Gender Gap in Internet Access,7.04,,,,
Indonesia,2018,Gender Gap in Internet Access,6.34,,,,
Indonesia,2019,Gender Gap in Internet Access,6.26,,,,
Indonesia,2020,Gender Gap in Internet Access,5.84,,,,
Indonesia,2021,Gender Gap in Internet Access,5.04,,,,
Indonesia,2022,Gender Gap in Internet Access,5.24,,,,
Indonesia,2023,Gender Gap in Internet Access,4.2,,,,
Myanmar,2017,Gender Gap in Internet Access,10,,,,
Papua New Guinea,2022,Gender Gap in Internet Access,23,,,,
Philippines,2022,Gender Gap in Internet Access,-2.12,,,,
Timor Leste,2015,Gender Gap in Internet Access,5.9,,,,
Timor Leste,2023,Gender Gap in Internet Access,21,,,,
Timor Leste,2023,Gender Gap in Internet Access,9,,,,
Timor Leste,2023,Gender Gap in Internet Access,5,,,,
Vietnam,2023,Gender Gap in Internet Access,4.4,,,,
Brunei Darussalam,2014,Percentage of Women in the ICT Workforce,39.28,No,,Brunei Department of Economic Planning and Statistics,https://deps.mofe.gov.bn/SitePages/Employment%20by%20Sector.aspx
Brunei Darussalam,2017,Percentage of Women in the ICT Workforce,51.06,No,,Brunei Department of Economic Planning and Statistics,https://deps.mofe.gov.bn/SitePages/Employment%20by%20Sector.aspx
Brunei Darussalam,2018,Percentage of Women in the ICT Workforce,43.16,No,,Brunei Department of Economic Planning and Statistics,https://deps.mofe.gov.bn/SitePages/Employment%20by%20Sector.aspx
Brunei Darussalam,2019,Percentage of Women in the ICT Workforce,36.7,No,,Brunei Department of Economic Planning and Statistics,https://deps.mofe.gov.bn/SitePages/Employment%20by%20Sector.aspx
Brunei Darussalam,2020,Percentage of Women in the ICT Workforce,35.78,No,,Brunei Department of Economic Planning and Statistics,https://deps.mofe.gov.bn/SitePages/Employment%20by%20Sector.aspx
Brunei Darussalam,2021,Percentage of Women in the ICT Workforce,39.37,No,,Brunei Department of Economic Planning and Statistics,https://deps.mofe.gov.bn/SitePages/Employment%20by%20Sector.aspx
Brunei Darussalam,2022,Percentage of Women in the ICT Workforce,38.75,No,,Brunei Department of Economic Planning and Statistics,https://deps.mofe.gov.bn/SitePages/Employment%20by%20Sector.aspx
Malaysia,2021,Percentage of Women in the ICT Workforce,69.67,No,,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2022,Percentage of Women in the ICT Workforce,66.52,No,,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2023,Percentage of Women in the ICT Workforce,67.92,No,,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Singapore,2017,Percentage of Women in the ICT Workforce_Tech and Media Manpower,71.5,No,Tech and Media Manpower is under the InfoComm industry ,Ministry of Manpower Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M651571
Singapore,2018,Percentage of Women in the ICT Workforce_Tech and Media Manpower,70.7,No,Tech and Media Manpower is under the InfoComm industry ,Ministry of Manpower Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M651571
Singapore,2019,Percentage of Women in the ICT Workforce_Tech and Media Manpower,69,No,Tech and Media Manpower is under the InfoComm industry ,Ministry of Manpower Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M651571
Singapore,2020,Percentage of Women in the ICT Workforce_Tech and Media Manpower,69.2,No,Tech and Media Manpower is under the InfoComm industry ,Ministry of Manpower Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M651571
Singapore,2021,Percentage of Women in the ICT Workforce_Tech and Media Manpower,70.3,No,Tech and Media Manpower is under the InfoComm industry ,Ministry of Manpower Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M651571
Singapore,2022,Percentage of Women in the ICT Workforce_Tech and Media Manpower,69.5,No,Tech and Media Manpower is under the InfoComm industry ,Ministry of Manpower Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M651571
Singapore,2023,Percentage of Women in the ICT Workforce_Tech and Media Manpower,68.6,No,Tech and Media Manpower is under the InfoComm industry ,Ministry of Manpower Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M651571
Singapore,2024,Percentage of Women in the ICT Workforce_Tech and Media Manpower,68.9,No,Tech and Media Manpower is under the InfoComm industry ,Ministry of Manpower Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M651571
Thailand,2020,Percentage of Women in the ICT Workforce,35.3,No,,World Bank,https://documents1.worldbank.org/curated/en/099518309112322076/pdf/IDU005e8c7fb01e69045b40b256059e0bdbdb644.pdf
Philippines,2019,Percentage of Women in the ICT Workforce,32,,,,
Vietnam,2019,Percentage of Women in the ICT Workforce,37,,,,
Myanmar,2019,"Percentage of Women in the ICT Workforce_Computer Programming, Consultancy",46,,,,
Myanmar,2019,"Percentage of Women in the ICT Workforce_Computer Programming, Consultancy_Telecommunications",29,,,,
Myanmar,2017,Percentage of Women in the ICT Workforce_Engineering and Tech,71,,,,
Indonesia,2020,Percentage of Women in the ICT Workforce,28,,,,
Malaysia,2021,Percentage of Women in ICT Management Positions,2.9,Yes,Percent of female managers in Malaysia is not aggregated by sector,Department of Statistics Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2022,Percentage of Women in ICT Management Positions,3,Yes,Percent of female managers in Malaysia is not aggregated by sector,Department of Statistics Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2023,Percentage of Women in ICT Management Positions,3.2,Yes,Percent of female managers in Malaysia is not aggregated by sector,Department of Statistics Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Singapore,2011,Percentage of Women in ICT Management Positions,33.8,No,Proportion Of Resident Females Among Managers And Administrators,Department of Statistics of Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M184111
Singapore,2012,Percentage of Women in ICT Management Positions,33.6,No,Proportion Of Resident Females Among Managers And Administrators,Department of Statistics of Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M184111
Singapore,2013,Percentage of Women in ICT Management Positions,33.1,No,Proportion Of Resident Females Among Managers And Administrators,Department of Statistics of Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M184111
Singapore,2014,Percentage of Women in ICT Management Positions,33.4,No,Proportion Of Resident Females Among Managers And Administrators,Department of Statistics of Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M184111
Singapore,2015,Percentage of Women in ICT Management Positions,33.4,No,Proportion Of Resident Females Among Managers And Administrators,Department of Statistics of Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M184111
Singapore,2016,Percentage of Women in ICT Management Positions,35,No,Proportion Of Resident Females Among Managers And Administrators,Department of Statistics of Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M184111
Singapore,2017,Percentage of Women in ICT Management Positions,33.4,No,Proportion Of Resident Females Among Managers And Administrators,Department of Statistics of Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M184111
Singapore,2018,Percentage of Women in ICT Management Positions,35.9,No,Proportion Of Resident Females Among Managers And Administrators,Department of Statistics of Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M184111
Singapore,2019,Percentage of Women in ICT Management Positions,36.4,No,Proportion Of Resident Females Among Managers And Administrators,Department of Statistics of Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M184111
Singapore,2020,Percentage of Women in ICT Management Positions,37.3,No,Proportion Of Resident Females Among Managers And Administrators,Department of Statistics of Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M184111
Singapore,2021,Percentage of Women in ICT Management Positions,38.5,No,Proportion Of Resident Females Among Managers And Administrators,Department of Statistics of Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M184111
Singapore,2022,Percentage of Women in ICT Management Positions,40.6,No,Proportion Of Resident Females Among Managers And Administrators,Department of Statistics of Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M184111
Singapore,2023,Percentage of Women in ICT Management Positions,39.8,No,Proportion Of Resident Females Among Managers And Administrators,Department of Statistics of Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M184111
Indonesia,2017,Percentage of Women in ICT Management Positions,23,,,,
Malaysia,2019,Percentage of Women in ICT Leadership Roles,79.38,No,Data pertains to board of directors of companies registered with the Companies Commission of Malaysia ,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2020,Percentage of Women in ICT Leadership Roles,78.03,No,Data pertains to board of directors of companies registered with the Companies Commission of Malaysia ,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2021,Percentage of Women in ICT Leadership Roles,76.95,No,Data pertains to board of directors of companies registered with the Companies Commission of Malaysia ,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Indonesia,2017,Percentage of Women in ICT Leadership Roles,23,,,,
Malaysia,2021,Gender Pay Gap in ICT Sector,1.98,No,Data is specific to technicians and associate professionals,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2022,Gender Pay Gap in ICT Sector,1.87,No,Data is specific to technicians and associate professionals,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2023,Gender Pay Gap in ICT Sector,2.85,No,Data is specific to technicians and associate professionals,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Singapore,2018,Gender Pay Gap in ICT Sector,16.3,No,Value is already adjusted,Singapore Ministry on Manpower,https://stats.mom.gov.sg/iMAS_Infographics/mrsd-Infographic-Update-on-Singapores-Adjusted-Gender-Pay-Gap.pdf
Singapore,2023,Gender Pay Gap in ICT Sector,14.3,No,Value is already adjusted,Singapore Ministry on Manpower,https://stats.mom.gov.sg/iMAS_Infographics/mrsd-Infographic-Update-on-Singapores-Adjusted-Gender-Pay-Gap.pdf
Vietnam,2023,Gender Pay Gap in ICT Sector,28,,,,
Indonesia,2023,Gender Pay Gap in ICT Sector,18,,,,
Brunei Darussalam,1999,Percentage Women Graduates in STEM Fields,52.308,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2000,Percentage Women Graduates in STEM Fields,48.837,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2001,Percentage Women Graduates in STEM Fields,42.748,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2003,Percentage Women Graduates in STEM Fields,48.438,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2004,Percentage Women Graduates in STEM Fields,42.405,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2005,Percentage Women Graduates in STEM Fields,44.199,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2006,Percentage Women Graduates in STEM Fields,62.338,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2007,Percentage Women Graduates in STEM Fields,39.13,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2008,Percentage Women Graduates in STEM Fields,49.138,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2009,Percentage Women Graduates in STEM Fields,50.394,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2010,Percentage Women Graduates in STEM Fields,41.689,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2011,Percentage Women Graduates in STEM Fields,50.532,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2012,Percentage Women Graduates in STEM Fields,49.435,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2015,Percentage Women Graduates in STEM Fields,49.171,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2016,Percentage Women Graduates in STEM Fields,51.855,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2018,Percentage Women Graduates in STEM Fields,54.34,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Cambodia,2000,Percentage Women Graduates in STEM Fields,25,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Cambodia,2001,Percentage Women Graduates in STEM Fields,21.683,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Cambodia,2002,Percentage Women Graduates in STEM Fields,18.122,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Cambodia,2004,Percentage Women Graduates in STEM Fields,12.055,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Cambodia,2007,Percentage Women Graduates in STEM Fields,11.533,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Cambodia,2008,Percentage Women Graduates in STEM Fields,9.828,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Cambodia,2015,Percentage Women Graduates in STEM Fields,16.68,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Indonesia,2020,Percentage Women Graduates in STEM Fields,32,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2018,Percentage Women Graduates in STEM Fields,28.95,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2017,Percentage Women Graduates in STEM Fields,25.153,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2016,Percentage Women Graduates in STEM Fields,22.427,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2015,Percentage Women Graduates in STEM Fields,23.209,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2012,Percentage Women Graduates in STEM Fields,17.619,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2011,Percentage Women Graduates in STEM Fields,18.528,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2009,Percentage Women Graduates in STEM Fields,16.571,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2005,Percentage Women Graduates in STEM Fields,13.219,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2004,Percentage Women Graduates in STEM Fields,21.317,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2001,Percentage Women Graduates in STEM Fields,15.603,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,1999,Percentage Women Graduates in STEM Fields,20.051,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Malaysia,2004,Percentage Women Graduates in STEM Fields,42.76,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
